;jan;feb;mrt;apr;mei;jun;jul;aug;sep;okt;nov;dec
1;"08:49/16:43";"08:21/17:30";"07:25/18:24";"07:14/20:18";"06:09/21:10";"05:25/21:55";"05:24/22:08";"06:03/21:34";"06:53/20:31";"07:43/19:21";"07:37/17:15";"08:27/16:36"/
2;"08:49/16:44";"08:20/17:32";"07:23/18:26";"07:12/20:20";"06:07/21:11";"05:24/21:57";"05:25/22:08";"06:04/21:33";"06:55/20:29";"07:44/19:19";"07:38/17:13";"08:28/16:35"/
3;"08:48/16:45";"08:18/17:34";"07:21/18:28";"07:09/20:22";"06:05/21:13";"05:24/21:58";"05:26/22:07";"06:06/21:31";"06:57/20:26";"07:46/19:16";"07:40/17:12";"08:30/16:35"/
4;"08:48/16:46";"08:16/17:36";"07:18/18:29";"07:07/20:23";"06:03/21:15";"05:23/21:59";"05:27/22:07";"06:08/21:29";"06:58/20:24";"07:48/19:14";"07:42/17:10";"08:31/16:34"/
5;"08:48/16:47";"08:15/17:38";"07:16/18:31";"07:05/20:25";"06:02/21:16";"05:22/22:00";"05:28/22:06";"06:09/21:27";"07:00/20:22";"07:49/19:12";"07:44/17:08";"08:32/16:34"/
6;"08:47/16:48";"08:13/17:40";"07:14/18:33";"07:02/20:27";"06:00/21:18";"05:22/22:01";"05:29/22:06";"06:11/21:26";"07:01/20:20";"07:51/19:10";"07:46/17:06";"08:33/16:34"/
7;"08:47/16:50";"08:11/17:42";"07:12/18:35";"07:00/20:29";"05:58/21:20";"05:21/22:01";"05:30/22:05";"06:12/21:24";"07:03/20:17";"07:53/19:07";"07:47/17:05";"08:35/16:33"/
8;"08:47/16:51";"08:09/17:43";"07:09/18:37";"06:58/20:30";"05:56/21:21";"05:21/22:02";"05:31/22:04";"06:14/21:22";"07:05/20:15";"07:54/19:05";"07:49/17:03";"08:36/16:33"/
9;"08:46/16:52";"08:08/17:45";"07:07/18:38";"06:56/20:32";"05:55/21:23";"05:20/22:03";"05:32/22:04";"06:16/21:20";"07:06/20:13";"07:56/19:03";"07:51/17:01";"08:37/16:33"/
10;"08:46/16:54";"08:06/17:47";"07:05/18:40";"06:53/20:34";"05:53/21:25";"05:20/22:04";"05:33/22:03";"06:17/21:18";"07:08/20:10";"07:58/19:01";"07:53/17:00";"08:38/16:33"/
11;"08:45/16:55";"08:04/17:49";"07:03/18:42";"06:51/20:35";"05:51/21:26";"05:20/22:05";"05:34/22:02";"06:19/21:16";"07:10/20:08";"08:00/18:58";"07:54/16:58";"08:39/16:32"/
12;"08:44/16:57";"08:02/17:51";"07:00/18:44";"06:49/20:37";"05:50/21:28";"05:19/22:05";"05:35/22:01";"06:20/21:14";"07:11/20:06";"08:01/18:56";"07:56/16:57";"08:40/16:32"/
13;"08:44/16:58";"08:00/17:53";"06:58/18:45";"06:47/20:39";"05:48/21:29";"05:19/22:06";"05:36/22:00";"06:22/21:12";"07:13/20:03";"08:03/18:54";"07:58/16:55";"08:41/16:32"/
14;"08:43/17:00";"07:58/17:55";"06:56/18:47";"06:44/20:41";"05:46/21:31";"05:19/22:06";"05:37/21:59";"06:24/21:10";"07:15/20:01";"08:05/18:52";"08:00/16:54";"08:42/16:33"/
15;"08:42/17:01";"07:56/17:57";"06:53/18:49";"06:42/20:42";"05:45/21:32";"05:19/22:07";"05:39/21:58";"06:25/21:08";"07:16/19:59";"08:06/18:49";"08:01/16:52";"08:43/16:33"/
16;"08:41/17:03";"07:54/17:58";"06:51/18:51";"06:40/20:44";"05:43/21:34";"05:19/22:07";"05:40/21:57";"06:27/21:06";"07:18/19:56";"08:08/18:47";"08:03/16:51";"08:43/16:33"/
17;"08:40/17:04";"07:52/18:00";"06:49/18:52";"06:38/20:46";"05:42/21:35";"05:19/22:08";"05:41/21:56";"06:29/21:04";"07:19/19:54";"08:10/18:45";"08:05/16:50";"08:44/16:33"/
18;"08:39/17:06";"07:50/18:02";"06:46/18:54";"06:36/20:47";"05:41/21:37";"05:19/22:08";"05:42/21:55";"06:30/21:02";"07:21/19:51";"08:12/18:43";"08:07/16:49";"08:45/16:33"/
19;"08:38/17:08";"07:48/18:04";"06:44/18:56";"06:33/20:49";"05:39/21:38";"05:19/22:08";"05:44/21:54";"06:32/21:00";"07:23/19:49";"08:13/18:41";"08:08/16:47";"08:45/16:34"/
20;"08:37/17:09";"07:46/18:06";"06:42/18:58";"06:31/20:51";"05:38/21:40";"05:19/22:09";"05:45/21:52";"06:34/20:58";"07:24/19:47";"08:15/18:39";"08:10/16:46";"08:46/16:34"/
21;"08:36/17:11";"07:44/18:08";"06:39/18:59";"06:29/20:53";"05:37/21:41";"05:19/22:09";"05:47/21:51";"06:35/20:55";"07:26/19:44";"08:17/18:37";"08:12/16:45";"08:47/16:35"/
22;"08:35/17:13";"07:42/18:09";"06:37/19:01";"06:27/20:54";"05:35/21:43";"05:20/22:09";"05:48/21:50";"06:37/20:53";"07:28/19:42";"08:19/18:35";"08:13/16:44";"08:47/16:35"/
23;"08:34/17:14";"07:40/18:11";"06:35/19:03";"06:25/20:56";"05:34/21:44";"05:20/22:09";"05:49/21:48";"06:38/20:51";"07:29/19:40";"08:21/18:33";"08:15/16:43";"08:47/16:36"/
24;"08:32/17:16";"07:38/18:13";"06:32/19:04";"06:23/20:58";"05:33/21:46";"05:20/22:09";"05:51/21:47";"06:40/20:49";"07:31/19:37";"08:22/18:31";"08:16/16:42";"08:48/16:36"/
25;"08:31/17:18";"07:36/18:15";"06:30/19:06";"06:21/20:59";"05:32/21:47";"05:21/22:09";"05:52/21:45";"06:42/20:47";"07:33/19:35";"08:24/18:29";"08:18/16:41";"08:48/16:37"/
26;"08:30/17:20";"07:34/18:17";"06:28/19:08";"06:19/21:01";"05:31/21:48";"05:21/22:09";"05:54/21:44";"06:43/20:45";"07:34/19:33";"08:26/18:27";"08:20/16:40";"08:48/16:38"/
27;"08:28/17:21";"07:32/18:19";"06:25/19:10";"06:17/21:03";"05:30/21:49";"05:22/22:09";"05:55/21:42";"06:45/20:42";"07:36/19:30";"07:28/17:25";"08:21/16:39";"08:48/16:39"/
28;"08:27/17:23";"07:29/18:20";"06:23/19:11";"06:15/21:05";"05:29/21:51";"05:22/22:09";"05:57/21:41";"06:47/20:40";"07:38/19:28";"07:29/17:23";"08:23/16:38";"08:49/16:40"/
29;"08:26/17:25";"07:27/18:22";"06:21/19:13";"06:13/21:06";"05:28/21:52";"05:23/22:09";"05:58/21:39";"06:48/20:38";"07:39/19:26";"07:31/17:21";"08:24/16:37";"08:49/16:40"/
30;"08:24/17:27";;"06:18/19:15";"06:11/21:08";"05:27/21:53";"05:24/22:08";"06:00/21:38";"06:50/20:36";"07:41/19:23";"07:33/17:19";"08:26/16:37";"08:49/16:41"/
31;"08:23/17:29";;"07:16/20:16";;"05:26/21:54";;"06:01/21:36";"06:52/20:33";;"07:35/17:17";;"08:49/16:42"/
